test,ident,role,description,context
not(normalize-space(.)),copyLinking,COULD,"If the element altformavail is not empty, you COULD try to identify if the originals are present in the EHRI portal and make a link between the two descriptions.",ead:altformavail
,EHRINamespace,,"This constraint exists only for technical reasons. Without the declaration of the EAD namespace, the transformation in relaxNG wouldn't work.",
,EHRINamespace-TEI,,"This constraint exists only for technical reasons. Without the declaration of the TEI namespace, the transformation in relaxNG wouldn't work.",
@level,levelRequired,MUST,archdesc MUST have a level attribute.,ead:archdesc
@level = 'fonds' or @level = 'recordGrp' or @level = 'collection' or @level='otherlevel',archdescLevelValues,COULD,The value of the archdesc level attribute SHOULD be limited to four values:fonds recorGrp collection otherlevel,ead:archdesc
every $x in ead:did/ead:origination satisfies normalize-space($x),orignationDesirable,SHOULD,archdescshould contain a non-empty origination element.,ead:archdesc
every $x in ead:processinfo satisfies normalize-space($x),archdescProcessinfoDesirable,SHOULD,If archdesc should contain a non-empty processinfo element.,ead:archdesc
every $x in ead:processinfo/ead:p/ead:date satisfies normalize-space($x),archdescProcessinfoDateDesirable,SHOULD,The processinfo element SHOULD contain a date element as descendant.,ead:archdesc
ead:did/ead:langmaterial,langmaterialPossible,COULD,The archdesc element COULD contain a langmaterial element.,ead:archdesc
ead:custodhist,custodhistPossible,COULD,The archdesc element COULD contain a custodhist element.,ead:archdesc
ead:otherfindaid,otherfindaidPossible,COULD,The archdesc element COULD contain a otherfindaid element.,ead:archdesc
ead:originalsloc,originalslocPossible,COULD,The archdesc element COULD contain a originalsloc element.,ead:archdesc
ead:altformavail,altformavailPossible,COULD,The archdesc element COULD contain a altformavail element.,ead:archdesc
ead:bibliography,bibliographyPossible,COULD,The archdesc element COULD contain a bibliography element.,ead:archdesc
ead:odd,oddPossible,COULD,The archdesc element COULD contain a odd element,ead:archdesc
ead:note,notePossible,COULD,The archdesc element COULD contain a note element.,ead:archdesc
ead:controlaccess,controlaccessPossible,COULD,The archdesc element COULD contain a controlaccess element.,ead:archdesc
ead:scopecontent or ead:dsc/ead:c01/descendant-or-self::ead:scopecontent,scopecontentInArchdescOrC,,"A scopecontent element SHOULD be present in the description at least in archdesc, if not in the c elements.",ead:archdesc
@level,levelRequired,MUST,c01 MUST have a level attribute.,ead:c01
@level,levelRequired,MUST,c02 MUST have a level attribute.,ead:c02
@level,levelRequired,MUST,c03 MUST have a level attribute.,ead:c03
@level,levelRequired,MUST,c04 MUST have a level attribute.,ead:c04
@level,levelRequired,MUST,c05 MUST have a level attribute.,ead:c05
@level,levelRequired,MUST,c06 MUST have a level attribute.,ead:c06
not(ead:c07),noc07c12,SHOULD,The component elements SHOULD be numbered components between c01 and c06,ead:c06
